;timestamp;customer_no;location;next_location
54;2019-09-02 07:06:00;14;fruit;checkout
56;2019-09-02 07:07:00;15;entrance;spices
57;2019-09-02 07:07:00;15;spices;fruit
58;2019-09-02 07:08:00;15;fruit;checkout
60;2019-09-02 07:07:00;16;entrance;dairy
61;2019-09-02 07:07:00;16;dairy;spices
62;2019-09-02 07:09:00;16;spices;checkout
64;2019-09-02 07:11:00;17;entrance;fruit
65;2019-09-02 07:11:00;17;fruit;checkout
67;2019-09-02 07:12:00;18;entrance;fruit
68;2019-09-02 07:12:00;18;fruit;dairy
69;2019-09-02 07:14:00;18;dairy;checkout
71;2019-09-02 07:12:00;19;entrance;spices
72;2019-09-02 07:12:00;19;spices;drinks
73;2019-09-02 07:13:00;19;drinks;checkout
75;2019-09-02 07:12:00;20;entrance;drinks
76;2019-09-02 07:12:00;20;drinks;checkout
78;2019-09-02 07:13:00;21;entrance;drinks
79;2019-09-02 07:13:00;21;drinks;spices
80;2019-09-02 07:15:00;21;spices;checkout
82;2019-09-02 07:13:00;22;entrance;fruit
83;2019-09-02 07:13:00;22;fruit;dairy
84;2019-09-02 07:15:00;22;dairy;checkout
86;2019-09-02 07:14:00;23;entrance;fruit
87;2019-09-02 07:14:00;23;fruit;checkout
89;2019-09-02 07:14:00;24;entrance;drinks
90;2019-09-02 07:14:00;24;drinks;checkout
92;2019-09-02 07:16:00;25;entrance;spices
93;2019-09-02 07:16:00;25;spices;dairy
94;2019-09-02 07:17:00;25;dairy;spices
95;2019-09-02 07:18:00;25;spices;drinks
96;2019-09-02 07:19:00;25;drinks;checkout
98;2019-09-02 07:16:00;26;entrance;fruit
99;2019-09-02 07:16:00;26;fruit;dairy
100;2019-09-02 07:20:00;26;dairy;checkout
102;2019-09-02 07:16:00;27;entrance;spices
103;2019-09-02 07:16:00;27;spices;dairy
104;2019-09-02 07:19:00;27;dairy;checkout
106;2019-09-02 07:16:00;28;entrance;drinks
107;2019-09-02 07:16:00;28;drinks;checkout
109;2019-09-02 07:16:00;29;entrance;drinks
110;2019-09-02 07:16:00;29;drinks;checkout
112;2019-09-02 07:17:00;30;entrance;spices
113;2019-09-02 07:17:00;30;spices;drinks
114;2019-09-02 07:18:00;30;drinks;fruit
115;2019-09-02 07:19:00;30;fruit;dairy
116;2019-09-02 07:20:00;30;dairy;fruit
117;2019-09-02 07:21:00;30;fruit;checkout
119;2019-09-02 07:17:00;31;entrance;spices
120;2019-09-02 07:17:00;31;spices;checkout
122;2019-09-02 07:17:00;32;entrance;drinks
123;2019-09-02 07:17:00;32;drinks;checkout
125;2019-09-02 07:17:00;33;entrance;fruit
126;2019-09-02 07:17:00;33;fruit;dairy
127;2019-09-02 07:20:00;33;dairy;spices
128;2019-09-02 07:22:00;33;spices;dairy
129;2019-09-02 07:23:00;33;dairy;drinks
130;2019-09-02 07:24:00;33;drinks;spices
131;2019-09-02 07:26:00;33;spices;drinks
132;2019-09-02 07:27:00;33;drinks;checkout
134;2019-09-02 07:17:00;34;entrance;spices
135;2019-09-02 07:17:00;34;spices;drinks
136;2019-09-02 07:18:00;34;drinks;spices
137;2019-09-02 07:25:00;34;spices;fruit
138;2019-09-02 07:26:00;34;fruit;checkout
140;2019-09-02 07:18:00;35;entrance;dairy
141;2019-09-02 07:18:00;35;dairy;drinks
142;2019-09-02 07:19:00;35;drinks;checkout
144;2019-09-02 07:20:00;36;entrance;dairy
145;2019-09-02 07:20:00;36;dairy;checkout
147;2019-09-02 07:22:00;37;entrance;fruit
148;2019-09-02 07:22:00;37;fruit;checkout
150;2019-09-02 07:22:00;38;entrance;fruit
151;2019-09-02 07:22:00;38;fruit;dairy
152;2019-09-02 07:26:00;38;dairy;checkout
154;2019-09-02 07:26:00;39;entrance;dairy
155;2019-09-02 07:26:00;39;dairy;checkout
157;2019-09-02 07:26:00;40;entrance;dairy
158;2019-09-02 07:26:00;40;dairy;spices
159;2019-09-02 07:29:00;40;spices;checkout
161;2019-09-02 07:26:00;41;entrance;drinks
162;2019-09-02 07:26:00;41;drinks;dairy
163;2019-09-02 07:27:00;41;dairy;spices
164;2019-09-02 07:28:00;41;spices;drinks
165;2019-09-02 07:30:00;41;drinks;checkout
167;2019-09-02 07:26:00;42;entrance;dairy
168;2019-09-02 07:26:00;42;dairy;spices
169;2019-09-02 07:30:00;42;spices;fruit
170;2019-09-02 07:32:00;42;fruit;dairy
171;2019-09-02 07:33:00;42;dairy;checkout
173;2019-09-02 07:26:00;43;entrance;fruit
174;2019-09-02 07:26:00;43;fruit;dairy
175;2019-09-02 07:28:00;43;dairy;fruit
176;2019-09-02 07:39:00;43;fruit;dairy
177;2019-09-02 07:41:00;43;dairy;checkout
179;2019-09-02 07:26:00;44;entrance;fruit
180;2019-09-02 07:26:00;44;fruit;checkout
182;2019-09-02 07:26:00;45;entrance;spices
183;2019-09-02 07:26:00;45;spices;dairy
184;2019-09-02 07:27:00;45;dairy;fruit
185;2019-09-02 07:30:00;45;fruit;drinks
186;2019-09-02 07:31:00;45;drinks;fruit
187;2019-09-02 07:34:00;45;fruit;dairy
188;2019-09-02 07:36:00;45;dairy;checkout
190;2019-09-02 07:26:00;46;entrance;fruit
191;2019-09-02 07:26:00;46;fruit;checkout
193;2019-09-02 07:27:00;47;entrance;drinks
194;2019-09-02 07:27:00;47;drinks;fruit
195;2019-09-02 07:28:00;47;fruit;dairy
196;2019-09-02 07:32:00;47;dairy;checkout
198;2019-09-02 07:27:00;48;entrance;drinks
199;2019-09-02 07:27:00;48;drinks;checkout
201;2019-09-02 07:27:00;49;entrance;spices
202;2019-09-02 07:27:00;49;spices;checkout
204;2019-09-02 07:28:00;50;entrance;fruit
205;2019-09-02 07:28:00;50;fruit;drinks
206;2019-09-02 07:29:00;50;drinks;spices
207;2019-09-02 07:31:00;50;spices;checkout
209;2019-09-02 07:28:00;51;entrance;fruit
210;2019-09-02 07:28:00;51;fruit;dairy
211;2019-09-02 07:31:00;51;dairy;checkout
213;2019-09-02 07:29:00;52;entrance;drinks
214;2019-09-02 07:29:00;52;drinks;spices
215;2019-09-02 07:31:00;52;spices;fruit
216;2019-09-02 07:33:00;52;fruit;drinks
217;2019-09-02 07:36:00;52;drinks;fruit
218;2019-09-02 07:37:00;52;fruit;checkout
220;2019-09-02 07:29:00;53;entrance;fruit
221;2019-09-02 07:29:00;53;fruit;checkout
223;2019-09-02 07:30:00;54;entrance;spices
224;2019-09-02 07:30:00;54;spices;dairy
225;2019-09-02 07:31:00;54;dairy;checkout
227;2019-09-02 07:30:00;55;entrance;spices
228;2019-09-02 07:30:00;55;spices;dairy
229;2019-09-02 07:32:00;55;dairy;checkout
231;2019-09-02 07:30:00;56;entrance;fruit
232;2019-09-02 07:30:00;56;fruit;dairy
233;2019-09-02 07:33:00;56;dairy;spices
234;2019-09-02 07:34:00;56;spices;drinks
235;2019-09-02 07:35:00;56;drinks;checkout
237;2019-09-02 07:30:00;57;entrance;fruit
238;2019-09-02 07:30:00;57;fruit;checkout
240;2019-09-02 07:30:00;58;entrance;drinks
241;2019-09-02 07:30:00;58;drinks;checkout
243;2019-09-02 07:30:00;59;entrance;dairy
244;2019-09-02 07:30:00;59;dairy;drinks
245;2019-09-02 07:35:00;59;drinks;fruit
246;2019-09-02 07:38:00;59;fruit;checkout
248;2019-09-02 07:33:00;60;entrance;fruit
249;2019-09-02 07:33:00;60;fruit;drinks
250;2019-09-02 07:35:00;60;drinks;checkout
252;2019-09-02 07:33:00;61;entrance;spices
253;2019-09-02 07:33:00;61;spices;drinks
254;2019-09-02 07:34:00;61;drinks;checkout
256;2019-09-02 07:33:00;62;entrance;spices
257;2019-09-02 07:33:00;62;spices;drinks
258;2019-09-02 07:35:00;62;drinks;checkout
260;2019-09-02 07:39:00;63;entrance;spices
261;2019-09-02 07:39:00;63;spices;drinks
262;2019-09-02 07:40:00;63;drinks;fruit
263;2019-09-02 07:41:00;63;fruit;dairy
264;2019-09-02 07:43:00;63;dairy;fruit
265;2019-09-02 07:44:00;63;fruit;drinks
266;2019-09-02 07:46:00;63;drinks;checkout
268;2019-09-02 07:40:00;64;entrance;drinks
269;2019-09-02 07:40:00;64;drinks;fruit
270;2019-09-02 07:42:00;64;fruit;drinks
271;2019-09-02 07:43:00;64;drinks;checkout
273;2019-09-02 07:40:00;65;entrance;drinks
274;2019-09-02 07:40:00;65;drinks;dairy
275;2019-09-02 07:46:00;65;dairy;checkout
277;2019-09-02 07:40:00;66;entrance;spices
278;2019-09-02 07:40:00;66;spices;drinks
279;2019-09-02 07:43:00;66;drinks;spices
280;2019-09-02 07:45:00;66;spices;checkout
282;2019-09-02 07:42:00;67;entrance;dairy
283;2019-09-02 07:42:00;67;dairy;spices
284;2019-09-02 07:44:00;67;spices;drinks
285;2019-09-02 07:46:00;67;drinks;checkout
287;2019-09-02 07:42:00;68;entrance;spices
288;2019-09-02 07:42:00;68;spices;drinks
289;2019-09-02 07:45:00;68;drinks;fruit
290;2019-09-02 07:48:00;68;fruit;spices
291;2019-09-02 07:50:00;68;spices;checkout
293;2019-09-02 07:42:00;69;entrance;fruit
294;2019-09-02 07:42:00;69;fruit;checkout
296;2019-09-02 07:42:00;70;entrance;spices
297;2019-09-02 07:42:00;70;spices;drinks
298;2019-09-02 07:44:00;70;drinks;checkout
300;2019-09-02 07:43:00;71;entrance;dairy
301;2019-09-02 07:43:00;71;dairy;fruit
302;2019-09-02 07:44:00;71;fruit;checkout
304;2019-09-02 07:43:00;72;entrance;spices
305;2019-09-02 07:43:00;72;spices;drinks
306;2019-09-02 07:45:00;72;drinks;checkout
308;2019-09-02 07:43:00;73;entrance;dairy
309;2019-09-02 07:43:00;73;dairy;checkout
311;2019-09-02 07:43:00;74;entrance;spices
312;2019-09-02 07:43:00;74;spices;fruit
313;2019-09-02 07:45:00;74;fruit;checkout
315;2019-09-02 07:43:00;75;entrance;spices
316;2019-09-02 07:43:00;75;spices;dairy
317;2019-09-02 07:44:00;75;dairy;drinks
318;2019-09-02 07:45:00;75;drinks;spices
319;2019-09-02 07:47:00;75;spices;drinks
320;2019-09-02 07:48:00;75;drinks;checkout
322;2019-09-02 07:44:00;76;entrance;drinks
323;2019-09-02 07:44:00;76;drinks;dairy
324;2019-09-02 07:49:00;76;dairy;drinks
325;2019-09-02 07:50:00;76;drinks;checkout
327;2019-09-02 07:44:00;77;entrance;fruit
328;2019-09-02 07:44:00;77;fruit;checkout
330;2019-09-02 07:44:00;78;entrance;spices
331;2019-09-02 07:44:00;78;spices;dairy
332;2019-09-02 07:45:00;78;dairy;checkout
334;2019-09-02 07:44:00;79;entrance;dairy
335;2019-09-02 07:44:00;79;dairy;drinks
336;2019-09-02 07:53:00;79;drinks;checkout
338;2019-09-02 07:47:00;80;entrance;dairy
339;2019-09-02 07:47:00;80;dairy;drinks
340;2019-09-02 07:48:00;80;drinks;spices
341;2019-09-02 07:53:00;80;spices;dairy
342;2019-09-02 07:54:00;80;dairy;fruit
343;2019-09-02 07:59:00;80;fruit;checkout
345;2019-09-02 07:47:00;81;entrance;drinks
346;2019-09-02 07:47:00;81;drinks;fruit
347;2019-09-02 07:48:00;81;fruit;checkout
349;2019-09-02 07:47:00;82;entrance;drinks
350;2019-09-02 07:47:00;82;drinks;checkout
352;2019-09-02 07:47:00;83;entrance;fruit
353;2019-09-02 07:47:00;83;fruit;dairy
354;2019-09-02 07:48:00;83;dairy;checkout
356;2019-09-02 07:48:00;84;entrance;fruit
357;2019-09-02 07:48:00;84;fruit;drinks
358;2019-09-02 07:50:00;84;drinks;spices
359;2019-09-02 07:54:00;84;spices;dairy
360;2019-09-02 07:55:00;84;dairy;drinks
361;2019-09-02 08:01:00;84;drinks;checkout
363;2019-09-02 07:48:00;85;entrance;drinks
364;2019-09-02 07:48:00;85;drinks;spices
365;2019-09-02 07:49:00;85;spices;checkout
367;2019-09-02 07:49:00;86;entrance;spices
368;2019-09-02 07:49:00;86;spices;drinks
369;2019-09-02 07:50:00;86;drinks;spices
370;2019-09-02 07:51:00;86;spices;fruit
371;2019-09-02 07:53:00;86;fruit;dairy
372;2019-09-02 07:55:00;86;dairy;fruit
373;2019-09-02 07:57:00;86;fruit;spices
374;2019-09-02 08:01:00;86;spices;dairy
375;2019-09-02 08:05:00;86;dairy;drinks
376;2019-09-02 08:06:00;86;drinks;fruit
377;2019-09-02 08:07:00;86;fruit;drinks
378;2019-09-02 08:09:00;86;drinks;checkout
380;2019-09-02 07:49:00;87;entrance;drinks
381;2019-09-02 07:49:00;87;drinks;checkout
383;2019-09-02 07:49:00;88;entrance;dairy
384;2019-09-02 07:49:00;88;dairy;checkout
386;2019-09-02 07:49:00;89;entrance;drinks
387;2019-09-02 07:49:00;89;drinks;checkout
389;2019-09-02 07:49:00;90;entrance;spices
390;2019-09-02 07:49:00;90;spices;checkout
392;2019-09-02 07:52:00;91;entrance;fruit
393;2019-09-02 07:52:00;91;fruit;dairy
394;2019-09-02 07:56:00;91;dairy;checkout
396;2019-09-02 07:52:00;92;entrance;dairy
397;2019-09-02 07:52:00;92;dairy;checkout
399;2019-09-02 07:52:00;93;entrance;dairy
400;2019-09-02 07:52:00;93;dairy;checkout
402;2019-09-02 07:52:00;94;entrance;drinks
403;2019-09-02 07:52:00;94;drinks;dairy
404;2019-09-02 07:53:00;94;dairy;checkout
406;2019-09-02 07:53:00;95;entrance;drinks
407;2019-09-02 07:53:00;95;drinks;fruit
408;2019-09-02 07:57:00;95;fruit;spices
409;2019-09-02 08:02:00;95;spices;dairy
410;2019-09-02 08:03:00;95;dairy;checkout
412;2019-09-02 07:53:00;96;entrance;dairy
413;2019-09-02 07:53:00;96;dairy;checkout
415;2019-09-02 07:54:00;97;entrance;fruit
416;2019-09-02 07:54:00;97;fruit;checkout
418;2019-09-02 07:56:00;98;entrance;dairy
419;2019-09-02 07:56:00;98;dairy;drinks
420;2019-09-02 07:57:00;98;drinks;fruit
421;2019-09-02 07:58:00;98;fruit;drinks
422;2019-09-02 07:59:00;98;drinks;checkout
424;2019-09-02 07:56:00;99;entrance;dairy
425;2019-09-02 07:56:00;99;dairy;drinks
426;2019-09-02 07:58:00;99;drinks;spices
427;2019-09-02 08:00:00;99;spices;drinks
428;2019-09-02 08:01:00;99;drinks;checkout
430;2019-09-02 07:56:00;100;entrance;drinks
431;2019-09-02 07:56:00;100;drinks;checkout
433;2019-09-02 07:56:00;101;entrance;fruit
434;2019-09-02 07:56:00;101;fruit;checkout
436;2019-09-02 07:56:00;102;entrance;dairy
437;2019-09-02 07:56:00;102;dairy;checkout
439;2019-09-02 08:02:00;103;entrance;dairy
440;2019-09-02 08:02:00;103;dairy;drinks
441;2019-09-02 08:04:00;103;drinks;spices
442;2019-09-02 08:05:00;103;spices;drinks
443;2019-09-02 08:06:00;103;drinks;checkout
445;2019-09-02 08:02:00;104;entrance;fruit
446;2019-09-02 08:02:00;104;fruit;spices
447;2019-09-02 08:08:00;104;spices;drinks
448;2019-09-02 08:09:00;104;drinks;spices
449;2019-09-02 08:11:00;104;spices;dairy
450;2019-09-02 08:12:00;104;dairy;fruit
451;2019-09-02 08:15:00;104;fruit;checkout
453;2019-09-02 08:02:00;105;entrance;fruit
454;2019-09-02 08:02:00;105;fruit;checkout
456;2019-09-02 08:03:00;106;entrance;drinks
457;2019-09-02 08:03:00;106;drinks;spices
458;2019-09-02 08:04:00;106;spices;checkout
460;2019-09-02 08:03:00;107;entrance;dairy
461;2019-09-02 08:03:00;107;dairy;spices
462;2019-09-02 08:18:00;107;spices;checkout
464;2019-09-02 08:03:00;108;entrance;fruit
465;2019-09-02 08:03:00;108;fruit;dairy
466;2019-09-02 08:06:00;108;dairy;checkout
468;2019-09-02 08:05:00;109;entrance;dairy
469;2019-09-02 08:05:00;109;dairy;spices
470;2019-09-02 08:33:00;109;spices;drinks
471;2019-09-02 08:34:00;109;drinks;fruit
472;2019-09-02 08:37:00;109;fruit;dairy
473;2019-09-02 08:39:00;109;dairy;spices
474;2019-09-02 08:44:00;109;spices;fruit
475;2019-09-02 08:45:00;109;fruit;spices
476;2019-09-02 08:46:00;109;spices;drinks
477;2019-09-02 08:48:00;109;drinks;checkout
479;2019-09-02 08:05:00;110;entrance;spices
480;2019-09-02 08:05:00;110;spices;dairy
481;2019-09-02 08:08:00;110;dairy;checkout
483;2019-09-02 08:06:00;111;entrance;fruit
484;2019-09-02 08:06:00;111;fruit;dairy
485;2019-09-02 08:13:00;111;dairy;checkout
487;2019-09-02 08:06:00;112;entrance;fruit
488;2019-09-02 08:06:00;112;fruit;dairy
489;2019-09-02 08:07:00;112;dairy;checkout
491;2019-09-02 08:06:00;113;entrance;dairy
492;2019-09-02 08:06:00;113;dairy;drinks
493;2019-09-02 08:08:00;113;drinks;fruit
494;2019-09-02 08:09:00;113;fruit;checkout
496;2019-09-02 08:06:00;114;entrance;drinks
497;2019-09-02 08:06:00;114;drinks;checkout
499;2019-09-02 08:07:00;115;entrance;fruit
500;2019-09-02 08:07:00;115;fruit;checkout
502;2019-09-02 08:07:00;116;entrance;drinks
503;2019-09-02 08:07:00;116;drinks;checkout
505;2019-09-02 08:10:00;117;entrance;dairy
506;2019-09-02 08:10:00;117;dairy;spices
507;2019-09-02 08:12:00;117;spices;drinks
508;2019-09-02 08:16:00;117;drinks;checkout
510;2019-09-02 08:10:00;118;entrance;fruit
511;2019-09-02 08:10:00;118;fruit;checkout
513;2019-09-02 08:10:00;119;entrance;drinks
514;2019-09-02 08:10:00;119;drinks;checkout
516;2019-09-02 08:11:00;120;entrance;spices
517;2019-09-02 08:11:00;120;spices;dairy
518;2019-09-02 08:14:00;120;dairy;checkout
520;2019-09-02 08:11:00;121;entrance;dairy
521;2019-09-02 08:11:00;121;dairy;checkout
523;2019-09-02 08:11:00;122;entrance;dairy
524;2019-09-02 08:11:00;122;dairy;drinks
525;2019-09-02 08:16:00;122;drinks;checkout
527;2019-09-02 08:13:00;123;entrance;drinks
528;2019-09-02 08:13:00;123;drinks;dairy
529;2019-09-02 08:17:00;123;dairy;checkout
531;2019-09-02 08:14:00;124;entrance;fruit
532;2019-09-02 08:14:00;124;fruit;checkout
534;2019-09-02 08:14:00;125;entrance;fruit
535;2019-09-02 08:14:00;125;fruit;checkout
537;2019-09-02 08:14:00;126;entrance;fruit
538;2019-09-02 08:14:00;126;fruit;checkout
540;2019-09-02 08:16:00;127;entrance;spices
541;2019-09-02 08:16:00;127;spices;fruit
542;2019-09-02 08:17:00;127;fruit;spices
543;2019-09-02 08:18:00;127;spices;checkout
545;2019-09-02 08:16:00;128;entrance;fruit
546;2019-09-02 08:16:00;128;fruit;checkout
548;2019-09-02 08:16:00;129;entrance;spices
549;2019-09-02 08:16:00;129;spices;checkout
551;2019-09-02 08:16:00;130;entrance;drinks
552;2019-09-02 08:16:00;130;drinks;checkout
554;2019-09-02 08:20:00;131;entrance;dairy
555;2019-09-02 08:20:00;131;dairy;checkout
557;2019-09-02 08:21:00;132;entrance;fruit
558;2019-09-02 08:21:00;132;fruit;checkout
560;2019-09-02 08:22:00;133;entrance;dairy
561;2019-09-02 08:22:00;133;dairy;drinks
562;2019-09-02 08:25:00;133;drinks;spices
563;2019-09-02 08:33:00;133;spices;dairy
564;2019-09-02 08:36:00;133;dairy;spices
565;2019-09-02 08:41:00;133;spices;dairy
566;2019-09-02 08:45:00;133;dairy;fruit
567;2019-09-02 08:46:00;133;fruit;checkout
569;2019-09-02 08:22:00;134;entrance;drinks
570;2019-09-02 08:22:00;134;drinks;checkout
572;2019-09-02 08:22:00;135;entrance;dairy
573;2019-09-02 08:22:00;135;dairy;checkout
575;2019-09-02 08:22:00;136;entrance;dairy
576;2019-09-02 08:22:00;136;dairy;drinks
577;2019-09-02 08:26:00;136;drinks;fruit
578;2019-09-02 08:27:00;136;fruit;checkout
580;2019-09-02 08:22:00;137;entrance;fruit
581;2019-09-02 08:22:00;137;fruit;checkout
583;2019-09-02 08:22:00;138;entrance;fruit
584;2019-09-02 08:22:00;138;fruit;dairy
585;2019-09-02 08:23:00;138;dairy;spices
586;2019-09-02 08:24:00;138;spices;drinks
587;2019-09-02 08:25:00;138;drinks;checkout
589;2019-09-02 08:22:00;139;entrance;dairy
590;2019-09-02 08:22:00;139;dairy;checkout
592;2019-09-02 08:22:00;140;entrance;fruit
593;2019-09-02 08:22:00;140;fruit;checkout
595;2019-09-02 08:23:00;141;entrance;fruit
596;2019-09-02 08:23:00;141;fruit;checkout
598;2019-09-02 08:23:00;142;entrance;dairy
599;2019-09-02 08:23:00;142;dairy;drinks
600;2019-09-02 08:28:00;142;drinks;checkout
602;2019-09-02 08:23:00;143;entrance;dairy
603;2019-09-02 08:23:00;143;dairy;drinks
604;2019-09-02 08:26:00;143;drinks;checkout
606;2019-09-02 08:26:00;144;entrance;drinks
607;2019-09-02 08:26:00;144;drinks;spices
608;2019-09-02 08:31:00;144;spices;drinks
609;2019-09-02 08:35:00;144;drinks;checkout
611;2019-09-02 08:26:00;145;entrance;drinks
612;2019-09-02 08:26:00;145;drinks;checkout
614;2019-09-02 08:26:00;146;entrance;dairy
615;2019-09-02 08:26:00;146;dairy;spices
616;2019-09-02 08:28:00;146;spices;drinks
617;2019-09-02 08:29:00;146;drinks;spices
618;2019-09-02 08:31:00;146;spices;checkout
620;2019-09-02 08:28:00;147;entrance;dairy
621;2019-09-02 08:28:00;147;dairy;fruit
622;2019-09-02 08:30:00;147;fruit;spices
623;2019-09-02 08:31:00;147;spices;fruit
624;2019-09-02 08:32:00;147;fruit;drinks
625;2019-09-02 08:34:00;147;drinks;checkout
627;2019-09-02 08:28:00;148;entrance;spices
628;2019-09-02 08:28:00;148;spices;checkout
630;2019-09-02 08:28:00;149;entrance;spices
631;2019-09-02 08:28:00;149;spices;fruit
632;2019-09-02 08:29:00;149;fruit;checkout
634;2019-09-02 08:29:00;150;entrance;dairy
635;2019-09-02 08:29:00;150;dairy;drinks
636;2019-09-02 08:34:00;150;drinks;checkout
638;2019-09-02 08:29:00;151;entrance;dairy
639;2019-09-02 08:29:00;151;dairy;fruit
640;2019-09-02 08:34:00;151;fruit;checkout
642;2019-09-02 08:31:00;152;entrance;fruit
643;2019-09-02 08:31:00;152;fruit;checkout
645;2019-09-02 08:31:00;153;entrance;dairy
646;2019-09-02 08:31:00;153;dairy;checkout
648;2019-09-02 08:31:00;154;entrance;dairy
649;2019-09-02 08:31:00;154;dairy;spices
650;2019-09-02 08:33:00;154;spices;drinks
651;2019-09-02 08:36:00;154;drinks;fruit
652;2019-09-02 08:38:00;154;fruit;drinks
653;2019-09-02 08:41:00;154;drinks;fruit
654;2019-09-02 08:43:00;154;fruit;spices
655;2019-09-02 08:44:00;154;spices;dairy
656;2019-09-02 08:46:00;154;dairy;checkout
658;2019-09-02 08:31:00;155;entrance;drinks
659;2019-09-02 08:31:00;155;drinks;checkout
661;2019-09-02 08:32:00;156;entrance;fruit
662;2019-09-02 08:32:00;156;fruit;checkout
664;2019-09-02 08:32:00;157;entrance;spices
665;2019-09-02 08:32:00;157;spices;dairy
666;2019-09-02 08:35:00;157;dairy;checkout
668;2019-09-02 08:33:00;158;entrance;drinks
669;2019-09-02 08:33:00;158;drinks;spices
670;2019-09-02 08:35:00;158;spices;drinks
671;2019-09-02 08:36:00;158;drinks;checkout
673;2019-09-02 08:33:00;159;entrance;drinks
674;2019-09-02 08:33:00;159;drinks;fruit
675;2019-09-02 08:34:00;159;fruit;spices
676;2019-09-02 08:38:00;159;spices;drinks
677;2019-09-02 08:44:00;159;drinks;fruit
678;2019-09-02 08:45:00;159;fruit;checkout
680;2019-09-02 08:33:00;160;entrance;fruit
681;2019-09-02 08:33:00;160;fruit;drinks
682;2019-09-02 08:35:00;160;drinks;checkout
684;2019-09-02 08:34:00;161;entrance;dairy
685;2019-09-02 08:34:00;161;dairy;drinks
686;2019-09-02 08:35:00;161;drinks;spices
687;2019-09-02 08:37:00;161;spices;drinks
688;2019-09-02 08:39:00;161;drinks;spices
689;2019-09-02 08:41:00;161;spices;dairy
690;2019-09-02 08:46:00;161;dairy;checkout
692;2019-09-02 08:34:00;162;entrance;spices
693;2019-09-02 08:34:00;162;spices;fruit
694;2019-09-02 08:35:00;162;fruit;checkout
696;2019-09-02 08:34:00;163;entrance;drinks
697;2019-09-02 08:34:00;163;drinks;spices
698;2019-09-02 08:35:00;163;spices;dairy
699;2019-09-02 08:36:00;163;dairy;drinks
700;2019-09-02 08:42:00;163;drinks;checkout
702;2019-09-02 08:34:00;164;entrance;fruit
703;2019-09-02 08:34:00;164;fruit;dairy
704;2019-09-02 08:36:00;164;dairy;checkout
706;2019-09-02 08:35:00;165;entrance;fruit
707;2019-09-02 08:35:00;165;fruit;dairy
708;2019-09-02 08:42:00;165;dairy;drinks
709;2019-09-02 08:43:00;165;drinks;checkout
711;2019-09-02 08:37:00;166;entrance;dairy
712;2019-09-02 08:37:00;166;dairy;checkout
714;2019-09-02 08:37:00;167;entrance;spices
715;2019-09-02 08:37:00;167;spices;dairy
716;2019-09-02 08:38:00;167;dairy;fruit
717;2019-09-02 08:39:00;167;fruit;dairy
718;2019-09-02 08:41:00;167;dairy;drinks
719;2019-09-02 08:42:00;167;drinks;spices
720;2019-09-02 08:47:00;167;spices;fruit
721;2019-09-02 08:48:00;167;fruit;drinks
722;2019-09-02 09:00:00;167;drinks;spices
723;2019-09-02 09:03:00;167;spices;dairy
724;2019-09-02 09:04:00;167;dairy;checkout
726;2019-09-02 08:38:00;168;entrance;drinks
727;2019-09-02 08:38:00;168;drinks;spices
728;2019-09-02 08:40:00;168;spices;checkout
730;2019-09-02 08:39:00;169;entrance;drinks
731;2019-09-02 08:39:00;169;drinks;spices
732;2019-09-02 08:42:00;169;spices;checkout
734;2019-09-02 08:40:00;170;entrance;fruit
